block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
1,88,pig,pig_1.wav,mask,visual,no,visual-no,3,Does it have whiskers?
1,89,raccoon,raccoon_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Does it eat garbage?
1,90,deer,deer_3.wav,nomask,visual,yes,visual-yes,3,Does it have eyes?
1,91,apple,apple_2.wav,nomask,nonvisual,no,nonvisual-no,1,Is it an animal?
1,92,raccoon,raccoon_1.wav,mask,visual,yes,visual-yes,3,Does it have eyes?
1,93,pineapple,pineapple_4.wav,nomask,visual,no,visual-no,2,Does it have a seat?
1,94,lion,lion_2.wav,nomask,visual,yes,visual-yes,4,Does it have teeth?
1,95,strawberry,strawberry_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it taste sweet?
1,96,chicken,chicken_1.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it live on a farm?
1,97,tiger,tiger_1.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it live in India?
1,98,swan,swan_3.wav,mask,visual,yes,visual-yes,1,Does it have a long neck?
1,99,tiger,tiger_2.wav,mask,visual,no,visual-no,4,Is it yellow inside?
1,100,swan,swan_4.wav,nomask,visual,yes,visual-yes,4,Does it have wings?
1,101,chicken,chicken_2.wav,nomask,visual,no,visual-no,4,Does it have four legs?
1,102,penguin,penguin_1.wav,mask,visual,yes,visual-yes,2,Does it have a beak?
1,103,grasshopper,grasshopper_4.wav,mask,visual,no,visual-no,4,Is it long?
1,104,rabbit,rabbit_1.wav,nomask,visual,no,visual-no,1,Does it have spots?
1,105,alligator,alligator_4.wav,nomask,visual,yes,visual-yes,1,Is it green?
1,106,rabbit,rabbit_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Does it hop?
1,107,alligator,alligator_3.wav,mask,visual,no,visual-no,1,Does it have a long tongue?
1,108,pineapple,pineapple_1.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it juicy?
1,109,raccoon,raccoon_1.wav,nomask,visual,yes,visual-yes,5,Does it have a mask?
1,110,apple,apple_2.wav,mask,visual,no,visual-no,1,Is it black?
1,111,mouse,mouse_4.wav,mask,visual,no,visual-no,1,Does it have gears?
1,112,swan,swan_1.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it lay eggs?
1,113,alligator,alligator_4.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it live in swamps?
