question,cue,question_slug,proposition_id,correct_response,feat_type
Does it like mud?,penguin,does-it-like-mud,does-it-like-mud:penguin,no,nonvisual
Does it grow on trees?,pig,does-it-grow-on-trees,does-it-grow-on-trees:pig,no,nonvisual
Is it a bird?,pig,is-it-a-bird,is-it-a-bird:pig,no,nonvisual
Is it used for making jam?,rabbit,is-it-used-for-making-jam,is-it-used-for-making-jam:rabbit,no,nonvisual
Is it used for protection?,raccoon,is-it-used-for-protection,is-it-used-for-protection:raccoon,no,nonvisual
Is it used for holding beer?,raccoon,is-it-used-for-holding-beer,is-it-used-for-holding-beer:raccoon,no,nonvisual
Is it an insect?,strawberry,is-it-an-insect,is-it-an-insect:strawberry,no,nonvisual
Is it used by riding?,swan,is-it-used-by-riding,is-it-used-by-riding:swan,no,nonvisual
Is it used for relaxing?,tiger,is-it-used-for-relaxing,is-it-used-for-relaxing:tiger,no,nonvisual
Does it grow underground?,tiger,does-it-grow-underground,does-it-grow-underground:tiger,no,nonvisual
Is it used for sitting on?,tiger,is-it-used-for-sitting-on,is-it-used-for-sitting-on:tiger,no,nonvisual
Is it furry?,toad,is-it-furry,is-it-furry:toad,no,nonvisual
Does it grow in tropical climates?,train,does-it-grow-in-tropical-climates,does-it-grow-in-tropical-climates:train,no,nonvisual
Is it eaten by rabbits?,zebra,is-it-eaten-by-rabbits,is-it-eaten-by-rabbits:zebra,no,nonvisual
