cue,ftype,qid,question,response,question_id,count,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_min,imagery_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,facts_mean,facts_std,facts_min,facts_max
carrot,visual,4,Does it have wings?,no,carrot:visual:4:no,6.0,-2.0,0.0,-2.0,-2.0,1.0,1.6733200530681511,0.0,4.0,-1.8333333333333333,0.40824829046386274,-2.0,-1.0,0.0,0.0,0.0,0.0
chair,nonvisual,1,Is it used for sitting on?,yes,chair:nonvisual:1:yes,4.0,1.75,0.5,1.0,2.0,0.75,0.5,0.0,1.0,-1.5,0.5773502691896257,-2.0,-1.0,1.0,1.1547005383792515,0.0,2.0
chair,nonvisual,2,Is it furniture?,yes,chair:nonvisual:2:yes,5.0,2.0,0.0,2.0,2.0,0.6,1.3416407864998738,0.0,3.0,-1.8,0.44721359549995815,-2.0,-1.0,0.4,0.5477225575051661,0.0,1.0
chair,nonvisual,3,Is it comfortable?,yes,chair:nonvisual:3:yes,4.0,0.25,0.5,0.0,1.0,1.25,1.5,0.0,3.0,-1.75,0.5,-2.0,-1.0,0.0,0.0,0.0,0.0
chair,nonvisual,4,Is it used for relaxing?,yes,chair:nonvisual:4:yes,5.0,2.0,0.0,2.0,2.0,0.6,0.8944271909999159,0.0,2.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
chair,nonvisual,5,Is it found at tables?,yes,chair:nonvisual:5:yes,6.0,1.3333333333333333,0.816496580927726,0.0,2.0,2.1666666666666665,1.4719601443879744,0.0,4.0,-1.6666666666666667,0.5163977794943221,-2.0,-1.0,0.3333333333333333,0.5163977794943223,0.0,1.0
chair,visual,1,Does it have legs?,yes,chair:visual:1:yes,10.0,1.6,0.6992058987801009,0.0,2.0,1.7,1.3374935098492586,0.0,4.0,-1.5,1.0801234497346435,-2.0,1.0,0.8,1.0327955589886444,0.0,3.0
chair,visual,2,Is it made of wood?,yes,chair:visual:2:yes,6.0,0.5,0.5477225575051661,0.0,1.0,2.1666666666666665,1.4719601443879744,1.0,4.0,-1.3333333333333333,0.816496580927726,-2.0,0.0,0.5,0.8366600265340756,0.0,2.0
chair,visual,3,Does it have armrests?,yes,chair:visual:3:yes,4.0,0.75,0.9574271077563381,0.0,2.0,1.5,1.0,1.0,3.0,-1.75,0.5,-2.0,-1.0,0.5,1.0,0.0,2.0
chair,visual,4,Does it have a seat?,yes,chair:visual:4:yes,9.0,2.0,0.0,2.0,2.0,1.5555555555555556,1.3333333333333333,0.0,4.0,-1.8888888888888888,0.33333333333333276,-2.0,-1.0,0.6666666666666666,1.118033988749895,0.0,3.0
chair,visual,5,Does it have a cushion?,yes,chair:visual:5:yes,4.0,0.0,0.0,0.0,0.0,2.0,1.8257418583505538,0.0,4.0,-1.25,1.5,-2.0,1.0,0.75,1.5,0.0,3.0
chair,nonvisual,1,Is it a fruit?,no,chair:nonvisual:1:no,7.0,-1.5714285714285714,1.1338934190276817,-2.0,1.0,0.7142857142857143,0.7559289460184544,0.0,2.0,-1.8571428571428572,0.3779644730092273,-2.0,-1.0,0.7142857142857143,1.1126972805283737,0.0,3.0
chair,nonvisual,2,Is it nutritious?,no,chair:nonvisual:2:no,7.0,-1.5714285714285714,1.1338934190276817,-2.0,1.0,0.42857142857142855,0.7867957924694432,0.0,2.0,-1.8571428571428572,0.3779644730092273,-2.0,-1.0,0.8571428571428571,1.2149857925879117,0.0,3.0
chair,nonvisual,3,Is it a root?,no,chair:nonvisual:3:no,6.0,-2.0,0.0,-2.0,-2.0,1.0,1.5491933384829668,0.0,4.0,-1.3333333333333333,1.2110601416389968,-2.0,1.0,0.8333333333333334,1.3291601358251257,0.0,3.0
